date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:56	65531/65531	---M-Z	200	added ('OK')	text/html	etag:%22b900d04-fffb-5e8b4b0d6c716-gzip%22	https://codervent.com/snacked/demo/ltr/ecommerce-orders.html	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/ecommerce-orders.html	(from )
17:32:56	98/98	---M-Z	200	added ('OK')	text/plain	etag:%22b8c3255-62-5fdb6110cf3db-gzip%22	https://codervent.com/robots.txt		(from )
17:32:57	2329/2329	---M--	200	added ('OK')	image/png	etag:%22b900d87-919-5e8b4b4052c45%22	https://codervent.com/snacked/demo/ltr/assets/images/favicon-32x32.png	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/images/favicon-32x32.png	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:32:57	2964/2964	---M-Z	200	added ('OK')	text/css	etag:%22bb22070-b94-5e8b4d4ce6caa-gzip%22	https://codervent.com/snacked/demo/ltr/assets/plugins/simplebar/css/simplebar.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:32:58	2022/2022	---M-Z	200	added ('OK')	text/css	etag:%22bb22066-7e6-5e8b4d48f6bb2-gzip%22	https://codervent.com/snacked/demo/ltr/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:32:58	1922/1922	---M-Z	200	added ('OK')	text/css	etag:%22bb22040-782-5e8b4d3b693c3-gzip%22	https://codervent.com/snacked/demo/ltr/assets/plugins/metismenu/css/metisMenu.min.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/plugins/metismenu/css/metisMenu.min.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:33:01	194699/194699	---M-Z	200	added ('OK')	text/css	etag:%22b900d6e-2f88b-5e8b4b30d3b5e-gzip%22	https://codervent.com/snacked/demo/ltr/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/css/bootstrap.min.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:33:01	20629/20629	---M-Z	200	added ('OK')	text/css	etag:%22b900d6f-5095-5e8b4b3074bd4-gzip%22	https://codervent.com/snacked/demo/ltr/assets/css/bootstrap-extended.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/css/bootstrap-extended.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:33:02	31203/31203	---M-Z	200	added ('OK')	text/css	etag:%22b900d77-79e3-5e8b4b3336107-gzip%22	https://codervent.com/snacked/demo/ltr/assets/css/style.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/css/style.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:33:03	135835/135835	---M-Z	200	added ('OK')	text/css	etag:%22b900d73-2129b-5e8b4b32664cc-gzip%22	https://codervent.com/snacked/demo/ltr/assets/css/icons.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/css/icons.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:33:03	65696/65696	---M-Z	200	added ('OK')	text/css	etag:W/%22100a0-GGXd3Lt7Z9zvQlDlkMyalXSrpnM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/bootstrap-icons.css	C:/My%20Web%20Sites/admindashboad/cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/bootstrap-icons.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:33:04	1738/1738	---M-Z	200	added ('OK')	text/css	etag:%22b900d75-6ca-5e8b4b32a8b4d-gzip%22	https://codervent.com/snacked/demo/ltr/assets/css/pace.min.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/css/pace.min.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:33:04	15072/15072	---M-Z	200	added ('OK')	text/css	etag:%22b900d71-3ae0-5e8b4b313daaf-gzip%22	https://codervent.com/snacked/demo/ltr/assets/css/dark-theme.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/css/dark-theme.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:33:05	994/994	---M-Z	200	added ('OK')	text/css	etag:%22b900d74-3e2-5e8b4b323c4eb-gzip%22	https://codervent.com/snacked/demo/ltr/assets/css/light-theme.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/css/light-theme.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:33:05	1773/1773	---M-Z	200	added ('OK')	text/css	etag:%22b900d76-6ed-5e8b4b32c92d6-gzip%22	https://codervent.com/snacked/demo/ltr/assets/css/semi-dark.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/css/semi-dark.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:33:06	5251/5251	---M-Z	200	added ('OK')	text/css	etag:%22b900d72-1483-5e8b4b31b7fb9-gzip%22	https://codervent.com/snacked/demo/ltr/assets/css/header-colors.css	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/assets/css/header-colors.css	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
17:33:06	61733/61733	---M-Z	200	added ('OK')	text/html	etag:%22b900d06-f125-5e8b4b0df42f8-gzip%22	https://codervent.com/snacked/demo/ltr/ecommerce-products-grid.html	C:/My%20Web%20Sites/admindashboad/codervent.com/snacked/demo/ltr/ecommerce-products-grid.html	(from https://codervent.com/snacked/demo/ltr/ecommerce-orders.html)
